ชื่อเพลง,ชื่อนักร้อง,ชื่อวง,นาที 00:00,ลิ้ง url,ประเภทเพลง,ธีมงาน,ภาษา
Perfect,Ed Sheeran,-,4:39,https://www.youtube.com/embed/2Vv-BfVoq4g?si=HbMRLuKFWS63eyrK,"Pop, Romantic",Wedding,English
A Thousand Years,Christina Perri,-,4:45,https://www.youtube.com/embed/rtOvBOTyX00?si=Lvd4yrDrbKuf2DnA,Pop,Wedding,English
คู๋ชีวิต,-,Cocktail,5:47,https://www.youtube.com/embed/3mYVyVY-lU4?si=eevOTgG_vtvdFVES,Romantic ,Wedding,Thai
ดาวหางฮัลเลย์,-,fellow fellow,4:19,https://www.youtube.com/embed/WtcKJtwMD2E?si=00fVYPUbfth_ZmN7,Pop,Wedding,Thai
เธอคือกาแฟในตอนเช้า,-,No One Else,4:36,https://www.youtube.com/embed/m6qgxvYcjGU?si=CNXNN2hKpV77N8Hx,Pop,Wedding,Thai
ของขวัญ,-,Musketeers,5:22,https://www.youtube.com/embed/MG8np3qtgJY?si=8EtpV-YxVc8fbU-Q,Romantic ,Wedding,Thai
แค่คุณ,-,Musketeers,5:01,https://www.youtube.com/embed/16-wFAbvQiU?si=IIegJDuoOcF-K_zX,Romantic ,Wedding,Thai
รักแท้,NuNew,-,3:35,https://www.youtube.com/embed/7UAtDPvraos?si=kehAWk1gprL2NcVZ,Pop,Wedding,Thai
ข้างกัน,-,Three man down Feat.ออม TELEx TELEXs,5:12,https://www.youtube.com/embed/ks7p6DA0dKk?si=RxAbHepG2WcL0jUk,Pop,Wedding,Thai
ตั้งแต่มีเธอชั้นมีความสุข,Violette Wautier ,-,4:15,https://www.youtube.com/embed/fgj8x925w0o?si=UadatP5rTW9T-xPr,Pop,Wedding,Thai
ธรรมดาแสนพิเศษ,-,ANATOMY RABBIT,4:03,https://www.youtube.com/embed/h2VIUdst5y4?si=2IKZ5H_HOei9AixM,Pop,Wedding,Thai
Untill I Found You,Stephen Sanchez,-,2:25,https://www.youtube.com/embed/GxldQ9eX2wo?si=GQ-05uEEckbtlO2b,Pop,Wedding,English
เหตุผลของการมีชีวิตอยู่ คือการได้พบเธอ,-,No One Else,4:03,https://www.youtube.com/embed/KjrkRDQ26u4?si=GavL17taQDvpBbzl,Pop,Wedding,Thai
At My Worst,Pink Sweat$,-,2:49,https://www.youtube.com/embed/VXzAJd8UJl8?si=MRGmjGKeBCJjYzCp,"Pop, R&B ",Wedding,English
Dandelions,Ruth B.,-,3:55,https://www.youtube.com/embed/W8a4sUabCUo?si=1WdzkFgef7mjktAI,Romantic ,Wedding,English
I like Me Better,Lauv,-,3:17,https://www.youtube.com/embed/a7fzkqLozwA?si=JJu5Pu31tlBaaczZ,Romantic ,Wedding,English
Enchanted,Taylor Swift,-,5:52,https://www.youtube.com/embed/vv3um0BlygY?si=A18FgiaGAPWOifW3,Romantic ,Wedding,English
เพลงรัก,-,Three man down,4:35,https://www.youtube.com/embed/OYPiXBIgvJ8?si=YZ9BOPQ9Xbw2Bf3A,Pop,Wedding,Thai
Unchained Melody,Righteous Brothers,-,3:34,https://www.youtube.com/embed/IYj2hex99gY?si=Ms89PL0sYp0eZhiH,"Pop,  Rock",Wedding,English
All of Me,John Legend,-,4:30,https://www.youtube.com/embed/JXt4MrXL14A?si=O_SWorXMygpL8Pjb,R&B,Wedding,English
At Last,Etta James,-,2:59,https://www.youtube.com/embed/1qJU8G7gR_g?si=GRMnqKWVnC_9IC1P,Jazz,Wedding,English
Can't Help Falling In Love ,Elvis Presley,-,3:00,https://www.youtube.com/embed/vGJTaP6anOU?si=3zP9QOngpmKRpbqv,Pop,Wedding,English
I Will Always Love You,Whitney Houston,-,4:34,https://www.youtube.com/embed/3JWTaaS7LdU?si=SlZWnx9KGF0Zn71u,"Pop , R&B",Wedding,English
Marry You,Bruno Mars,-,3:47,https://www.youtube.com/embed/dElRVQFqj-k?si=PcJ_mXK4PqBoI16f,Pop,Wedding,English
Your Song,Elton Jojn,-,3:48,https://www.youtube.com/embed/GlPlfCy1urI?si=NwgSSzq9SzKr0wbo,"Pop, Romantic",Wedding,English
Thinking Out Loud,Ed Sheeran,-,4:56,https://www.youtube.com/embed/lp-EO5I60KA?si=Yczxf-RzIkSXW-yV,"Pop, Romantic",Wedding,English
Stand By Me,Ben E. King,-,2:57,https://www.youtube.com/embed/hwZNL7QVJjE?si=uO7mjEWLdVPRafme,"Retro, R&B",Wedding,English
L-O-V-E,Nat King Cole,-,2:35,https://www.youtube.com/embed/gZYtes1RO_w?si=m6DeZqlSWNbHMfPh,"Jazz, Retro",Wedding,English
What a Wonderful World,Louis Armstrong,-,2:18,https://www.youtube.com/embed/rBrd_3VMC3c?si=EEFqCy0vNErnLAad,"Jazz, Retro",Wedding,English
ลั่นทม,-,Cocktail,4:58,https://www.youtube.com/embed/Mra0MJnMHh0?si=hmH21ed_RaVgE5ls,"Rock, Alternative",Wedding,Thai
ต่อจากนี้เพลงรักทุกเพลงจะเป็นของเธอเท่านั้น,-,No One Else,4:41,https://www.youtube.com/embed/jbOTVZAm21M?si=Djggf_n63O4Yca2X,"Indie, Pop",Wedding,Thai
จากนี้ไปจนนิรันดร์,เอ๊ะ จิรากร,-,4:06,https://www.youtube.com/embed/goqxPiIipJs?si=AhgkvJ8Y_qRDkmsK,"Pop, Romantic",Wedding,Thai
อีกสักกี่ครั้ง,สแตมป์ อภิวัชร์,-,3:53,https://www.youtube.com/embed/aufuB5L-u2A?si=UZHuTWIOzCSCCDBT,"Indie, Pop",Wedding,Thai
เมื่อสองเราได้พบกัน,แก้ม วิชญาณี,-,3:25,https://www.youtube.com/embed/pPepugiXXpg?si=SMeCQVOKDZJZYm8r,"Pop, Romantic",Wedding,Thai
เวลา,ป๊อบ ปองกูล,-,4:30,https://www.youtube.com/embed/sXhTk7Pl9o0?si=uS8JfXu-j3rlU4S5,"Pop, Romantic",Wedding,Thai
ขอบคุณ,แว่นใหญ่,-,5:01,https://www.youtube.com/embed/NFXPALvjcL8?si=OtQkzvb4OXcA8FgD,"Indie, Pop",Wedding,Thai
